sample_id,comment_id,video_id,parent_id,text,pass_1_label,confidence_1,notes_1,pass_2_label,confidence_2,notes_2,target_boundary_category,adjudicated_label,adjudication_status
CALIB_016,Ugwmnqip8Sn16DXPZUF4AaABAg,qis44fqpuAU,,"Jika diperkenankan mencoba untuk pertama kali, tentu masa depan terlebih dahulu, kenapa? Karena untuk melihat pengaruh baik dan buruk dari adanya mesin waktu tersebut. Jika memang mesin waktu banyak memberi manfaat, maka untuk selanjutnya layak untuk dikembangkan. Apabila lebih banyak memberi dampak buruk dapat segera dimusnahkan.",Opinion,High,Spekulasi jawaban mesin waktu,Opinion,High,Opini skenario waktu,Rhetorical_Question_vs_Disagreement,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_017,Ugw9peQn9XyejP7FJXB4AaABAg,21seK8tKSYI,,"DATAR kek, BULAT kek
Serah dah gak percaya 22 nya, walau pasti salahsatunya.",Disagreement,High,Penolakan terhadap kedua teori,Disagreement,High,Menolak kedua teori bulat/datar,Hard_Disagreement_Skepticism,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_018,UgiW4OP3MJEB1HgCoAEC.8SrdVCs_wiJ8uDJXEvScYr,JRJ1ngbUe6A,UgiW4OP3MJEB1HgCoAEC,Elu tolol gak percaya satelit gimana indonesia mau maju kalo generasi penerus bangsa di bodohi oleh teori flat earth,Disagreement,High,Sanggahan keras penganut FE,Disagreement,High,Mengecam teori FE,Hard_Disagreement_Skepticism,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_019,UgzjFCPWc_uE4j75m7F4AaABAg,YxgOhIQJX3Q,,"Mau tanya dong.. 
Kan kenapa kalau manusia gak suka sama suaranya sendiri udah di jawab.. Terus lanjut 
Kenapa manusia suka sama bau kentut sendiri?",Question,High,Pertanyaan ilmiah baru,Question,High,Pertanyaan bau kentut,Praise_Plus_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_020,UgyjdgSDWk5NNbDY8nJ4AaABAg,QK01ROEqJ1A,,"Channel gini bermanfaat harusnya trending 👍 dripda channel sebelah bahas2 horor,hari gini adeh 😅😅🤣😂",Praise,High,Apresiasi kebermanfaatan konten,Praise,High,Apresiasi konten edukasi,Correction_vs_Disagreement,Praise,AUTO_RESOLVED_CONSISTENT
CALIB_021,UgwIpO9Ss6xA_bGqrPh4AaABAg,YxgOhIQJX3Q,,"Request min, apa jadinya bumi tanpa binatang?",Suggestion,High,Request topik,Suggestion,High,Request topik bumi tanpa binatang,Implicit_Suggestion,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_022,Ugj_k_bvKzVaeHgCoAEC,FMNRItiR6ZA,,kenapa tahu bulat?,Question,High,Pertanyaan rasa ingin tahu,Question,High,Pertanyaan tahu bulat,Genuine_Scientific_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_023,UgwW4pRzAci6rkOHAeF4AaABAg,YxgOhIQJX3Q,,"Videonya bagus, tapi saran seharusnya pakai satuan kaki saja (feet) untuk bahasan perihal ketinggian, jangan km.",Suggestion,High,Saran teknis satuan feet,Suggestion,High,Saran perbaikan satuan ketinggian,Praise_Plus_Correction,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_024,UgyYJgc1CG_3mz-5B0V4AaABAg,21seK8tKSYI,,"Coba kalo lo hilangkan gravitasi, jadi pasti masuk akal kalo bumi itu datar",Disagreement,High,Argumen sanggahan gravitasi,Disagreement,High,Sanggahan gravitasi,Explicit_Agreement_vs_Opinion,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_025,Ugx7LiPBdqFxZ-1UsSN4AaABAg.9Jc62RDvVb29Jc68breOcH,T8g_hUpx9VU,Ugx7LiPBdqFxZ-1UsSN4AaABAg,"Contoh nya kl misalkan ada meme di sosmed kek ""kebiasaan gw waktu kecil"" trus entar ada yg bales dulu gw juga gitu dan lain²",Opinion,Medium,Menjelaskan analogi meme,Opinion,Medium,Pemberian contoh opini,Personal_Experience,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_026,UgwBNtO3l2Ogf0yimel4AaABAg,t5SaFgSaM_M,,"Kenapa bang kok bisa suka banget sama Bakso
kenapa gitu yak ?
Wkwk",Question,High,Pertanyaan santai bakso,Question,High,Pertanyaan bakso,Praise_Plus_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_027,Ugz77wD7JOMizDQbp754AaABAg.8zYVkwxewWM9Wa3tKcaSc6,QK01ROEqJ1A,Ugz77wD7JOMizDQbp754AaABAg,"@arbinakson7113 Kalau menurut lu penjelasan gw tentang Yesus sebagai Allah dan manusia kurang membantu. 

Coba sebut.. Dimana letak salahnya. 

Gw pengen tau lu beneran menemukan kesalahan atau hanya ngomong ""Itu gak masuk akal"" sebagai jurus terakhir seperti yang lain 😁",Disagreement,High,Tantangan debat balasan,Disagreement,High,Sanggahan dalam balasan,Explicit_Agreement_vs_Opinion,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_028,UgxgEU3YvxlMhCehnJh4AaABAg.8pQBmZY3rKJ8zk6SkC4IZY,dghOCZmSEUQ,UgxgEU3YvxlMhCehnJh4AaABAg,Di agama saya yg sudah ada jauh sblm agama Islam muncul jg ada dijelaskan ttg alam semesta ini dan nyambung2 aja. (Cmn blg tidak ngajak berantem),Opinion,Medium,Pandangan perbandingan agama,Opinion,High,Pandangan perbandingan keyakinan,Philosophical_General_Opinion,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_029,Ugi9Knz5EvymvHgCoAEC,PEbhbW4rgy4,,"+Kok Bisa?, saya mau tanya, Kenapa Di Ruang angkasa sangat Gelap?/ Hitam? Kenapa Tidak putih saja? Dan Berapa Luas angkasa Kira Kira?",Question,High,Pertanyaan sains ruang angkasa,Question,High,Pertanyaan ruang angkasa gelap,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_030,UgyU_DM2SZzJcs-MjsF4AaABAg.9LWejc7axRY9LtZGmYi80C,JRJ1ngbUe6A,UgyU_DM2SZzJcs-MjsF4AaABAg,Langit bisa ditembus gak percaya?buktinya itu apa satelit?ngambang diluar angkasa,Disagreement,High,Sanggahan retoris membela sains,Disagreement,High,Sanggahan skeptisisme satelit,Hard_Disagreement_Skepticism,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_031,Ugi6t2Krl_qgCHgCoAEC,PEbhbW4rgy4,,"VIDEO nya bagus min , 😁😁 , kenapa nama channelnya ""ko bisa?"" kenapa gk ""ko gitu?"" 😴😴",Question,Medium,Praise + Question nama channel -> Question,Praise,Medium,Memuji video bagus,Praise_Plus_Question,Question,ADJUDICATED_MANUAL
CALIB_032,UgycGA7R6ty63suv71B4AaABAg.A0bP-o9YwP_A1bn9-AhS04,T9ttUfGG7EE,UgycGA7R6ty63suv71B4AaABAg,"​@syamdism1331 logika anda yang tidak masuk akal sepertinya anda penganut bumi datar, pelajaran buku sekolah sudah ada bahwa manusia pernah menjelajahi bulan, dan sejak dulu sudah banyak penjelasan ilmiah lainnya. Anda hanya males mencari, menyelidiki, membaca yang sudah ada faktanya.",Disagreement,High,Sanggahan argumen penganut FE,Disagreement,High,Sanggahan klaim FE,Explicit_Agreement_vs_Opinion,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_033,UgxNAGBUHL3BhKlkNWl4AaABAg,2EVv7dmTFik,,"Bagaimana cara pesawat luar angkasa terbang di ruang yg hampa udara??
   Bukankah sistem kerja roket dengan mendorong udara,, trus apa yg di dorong di luar angkasa??",Question,High,Pertanyaan sistem kerja roket,Question,High,Pertanyaan sains roket hampa udara,Genuine_Scientific_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_034,UgzgygQDd0AelhpSJO94AaABAg,uA3cMFjqfaM,,bagus vidionya singkat tapi bisa belajar dari itu.dan tdk membuat kita bosan,Praise,High,Pujian video singkat bermanfaat,Praise,High,Pujian video singkat padat,Praise_Plus_Correction,Praise,AUTO_RESOLVED_CONSISTENT
CALIB_035,Ugwz7DofGmUMva4zwid4AaABAg,QK01ROEqJ1A,,Ada ujungnya di toilet rumahku alam semesta ini,Opinion,Low,Candaan ujung alam semesta,Opinion,Low,Candaan toilet,Philosophical_General_Opinion,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_036,UghmqGfdZKiqFXgCoAEC,iyJeozHhvJI,,kok bisa ada manusia yang bisa lihat hantu dan juga tidak?????????????,Question,High,Pertanyaan fenomena manusia,Question,High,Pertanyaan lihat hantu,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_037,UgyJDf0MKT20D5UC-Dh4AaABAg,qis44fqpuAU,,Kalau ada mesin waktu saya sih akan menonton space toon lagi(nostalgia),Opinion,High,Opini nostalgia mesin waktu,Opinion,High,Opini nostalgia,Personal_Experience,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_038,Ugyao70gRcMAvGb_mdt4AaABAg,qis44fqpuAU,,Kalo ada mesin waktu saya mau ke tahun 40.000,Opinion,High,Spekulasi pribadi mesin waktu,Opinion,High,Opini tahun 40.000,Personal_Experience,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_039,Ugg0ZdxodCKyiXgCoAEC,iq0yOkj3d28,,bang bumi itu kan bulut ... lalu mengapa kalau pesawat terbang lurus tetap memutari bumi ya .. kan dia tidak menyentuh tanah .. dan logisnya kalo dia lurus kan harusnya malah ke luar angkasa... explain dengan info grafis nya bang jadi video,Suggestion,Medium,Permintaan video penjelasan pesawat,Question,Medium,Bertanya alasan pesawat terbang lurus,Correction_vs_Disagreement,Question,ADJUDICATED_MANUAL
CALIB_040,UgwCRC2W20cqZpz4W5J4AaABAg.9EogT7DiMA59QhqOhkO7Df,21seK8tKSYI,UgwCRC2W20cqZpz4W5J4AaABAg,"@humanfuturelife2363 km bilang aku jelek? Iya intinya kan hidup makmur dan bahagia kuncinya ya disitu saja sih ,secogan cogannya km emng situ udah makmur hidupnya?. Yakalok makmur bagus, kalok ngk gimana?.",Disagreement,High,Balasan debat personal,Disagreement,High,Debat balasan,Praise_Plus_Question,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_041,Ugw3iKZfpf7UmxvmizF4AaABAg,21seK8tKSYI,,Masuk akal bangetttt,Agreement,High,Afirmasi persetujuan eksplisit,Agreement,High,Persetujuan masuk akal,Explicit_Agreement_vs_Opinion,Agreement,AUTO_RESOLVED_CONSISTENT
CALIB_042,Ugy7yxr62r1ZoJ_PQZp4AaABAg,YxgOhIQJX3Q,,Menit 2.07 g ad kakinya😅sengaja atau g sengaja?,Correction,Medium,Ralat visual menit 2:07,Correction,Medium,Menunjukkan cacat animasi 2:07,Correction_vs_Disagreement,Correction,AUTO_RESOLVED_CONSISTENT
CALIB_043,UgyjVPjc6E0SiLd0S2l4AaABAg,jPyd0Xv5LfY,,"Admin Kok Bisa saya ingin bertanya, jika suatu negara mata uangnya jelek kalo di ganti oleh mata uangnya yang lebih bagus apakah ekonomi negara tersebut bakal ikut baik?",Question,High,Pertanyaan sains ekonomi,Question,High,Pertanyaan ekonomi mata uang,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_044,Ughxu7wHCAJ_aXgCoAEC.8MlXP_P7Oxj8MmkFICqHnO,uA3cMFjqfaM,Ughxu7wHCAJ_aXgCoAEC,"mesin waktu mungkin itk masa kedepan bisa diciptakan untuk prjalanan ke masa depan(IMO)krn adanya partikel yang melebihi kec cahaya/min=kec cahaya,,   untuk ke masa lalu menurut saya lebih susah dr ke masa depan, kalau ada yg tau caranya ke masa lalu bisa komen, mau perbaiki kesalahan :v:v",Opinion,High,Spekulasi teori mesin waktu,Opinion,High,Spekulasi fisika partikel,Philosophical_General_Opinion,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_045,UgyhcXZN8Agu6MjoM1F4AaABAg,21seK8tKSYI,,Kaum fe kalo debat suka bawa bawa agama dan dalil giliran di bales sama sama pake dalil malah di katain salah tafsir + emot😁.,Disagreement,High,Kritik pola debat kaum FE,Disagreement,High,Kritik terhadap FE,Praise_Plus_Correction,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_046,Ugz_XC037LS8Afrkjox4AaABAg,NVDIHTGVcLc,,"Mau nanya, kenapa kalo kita misal nya ke kondangan, kan suka ada radio gede2 gitu kan, lagu nya biasa nya lagu dangdut, nah kalo di putar lagu dangdut itu kenapa jantung kita terkadang berasa berdetak lebih keras dari biasa nya???",Question,High,Pertanyaan biologis jantung dan musik,Question,High,Pertanyaan musik dangdut dan detak jantung,Praise_Plus_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_047,UgxoT0ojFuy7BpNeEv14AaABAg,QK01ROEqJ1A,,"Mengapa Tuhan menciptakan planet2 kecil di galaxy lain yg jauh itu, manfaatnya untuk kehidupan kita apa ?",Question,High,Pertanyaan tujuan planet kecil,Question,High,Pertanyaan penciptaan planet,Genuine_Scientific_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_048,UgzX7SiICBD_rkoNOIh4AaABAg,t5SaFgSaM_M,,aku suka ruang angkasa 😘 tapi aku gk suka bumi di tinggalkan,Opinion,High,Ekspresi perasaan suka/tidak suka,Opinion,High,Pandangan pribadi,Praise_Plus_Correction,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_049,Ugz69HlMdj6bWMCtwsl4AaABAg.9PNazBcogQ49PSEdO-J8a4,jPyd0Xv5LfY,Ugz69HlMdj6bWMCtwsl4AaABAg,"jaman sekolah gw sampe frustasii dan depresii, jdi rajin ibadah malem meratapi knapa gw jdi kya orang goblokk kalo ngmong,  pnah suatu kali pas sd gw dipaksa lomba pidato, gagap mau ngmong assalamualikumm, yawloh gw malu bgtt sampe sekarangg",Experience,High,Cerita masa sekolah dan lomba pidato,Experience,High,Pengalaman gugup lomba pidato,Personal_Experience,Experience,AUTO_RESOLVED_CONSISTENT
CALIB_050,UgyEHaeXByB1i2hOIlR4AaABAg.9Ohdrt-CbxT9PedUlYs8w2,21seK8tKSYI,UgyEHaeXByB1i2hOIlR4AaABAg,@chacaas1115 kalo suka sama seseorang apakah harus bedah hatinya dulu untuk tahu jawabannya? heheh,Opinion,Medium,Candaan analogi bedah hati,Opinion,Medium,Candaan retoris,Praise_Plus_Question,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_051,UgycFskmn2Oh5RqMeRZ4AaABAg,FMNRItiR6ZA,,"Nah ini dia  channel favorit gw :
1. Sisi Terang : Pembahasannya menarik dan isi nya berisi semua, baguss 😘 😘  😘 😘 
2. Inspiratips : Animasi nya gampang di cerna, konten sains nya keren & cinematic abis 😍 😍  
3. Kok Bisa : Voice over nya keren tapi topic nya bervariasi, gak boring 🥰  🥰 
Terus bahas konten astronomi dong",Suggestion,High,Praise + Suggestion -> Suggestion,Suggestion,High,Request lanjut konten astronomi,Praise_Plus_Correction,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_052,UgzPTzHqQS_e6mUT0_p4AaABAg,rloh5wZxFrU,,@Kok Bisa? Apakah Kita Bisa Membekukan Kembali Es Di Kutub Agar Tidak Cair ? #Beranibertanya,Question,High,Pertanyaan pembekuan es kutub,Question,High,Pertanyaan es kutub,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_053,UgxeAvjX9u5IKy9K5yd4AaABAg,21seK8tKSYI,,"Keren aninasinya Min, bikinnya gimana pake apa ya?",Question,High,Praise + Question animasi -> Question,Question,High,Tanya cara bikin animasi,Praise_Plus_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_054,UgzqzjnHdJZ952qrF054AaABAg.97sQZGyjAbx98-1Xj_WEJb,21seK8tKSYI,UgzqzjnHdJZ952qrF054AaABAg,Kalo Anda benar benar seorang muslim harusnya percaya kalo bumi itu bulat,Disagreement,High,Sanggahan klaim keyakinan,Disagreement,High,Sanggahan klaim penganut FE,Correction_vs_Disagreement,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_055,UgxTzaR-P4JyDbv98054AaABAg,5Zi4qGpGop4,,"Kok bisa reaksi alergi berbeda beda ada yang bersin2, gatal2, ada yang sesak napas ,ada yang pingsan?",Question,High,Pertanyaan reaksi alergi,Question,High,Pertanyaan variasi alergi,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_056,UgwpFa3HVDt4IqAalW54AaABAg,FMNRItiR6ZA,,"Chanel yg kaya gini sungguh bermanfaat, tapi anehnya yang hoax lebih laku.",Praise,Medium,Apresiasi channel vs hoax,Opinion,Medium,Menilai tren video hoax,Hard_Disagreement_Skepticism,Praise,ADJUDICATED_MANUAL
CALIB_057,Ugz0a9Wq2Q5LhjmJVyR4AaABAg,T8g_hUpx9VU,,"pernah nonton video Kok Bisa yang bahas jarak antara bumi dengan matahari yang jauhnya ga bisa dibayangin. dan kalo mau ke sana dibutuhkan waktu bertahun tahun lamanya. nah,  gimana mereka (?) bisa tau seberapa panas matahari? sedangkan untuk ke sana butuh waktu bertahun tahun....",Question,High,Pertanyaan metode ukur panas matahari,Question,High,Tanya cara ukur panas matahari,Rhetorical_Question_vs_Disagreement,Question,AUTO_RESOLVED_CONSISTENT
CALIB_058,Ugw_LQ-btJdFlnwSvC94AaABAg.9b-fIAWVCJA9b4U9TTF_Lo,Beod6J0genE,Ugw_LQ-btJdFlnwSvC94AaABAg,Waktu kecil pengen jadi astronot udah gede jadi penasaran kan udah di  angkasa terus pengen ke bawah jurang tanpa dasar nya kebayang terus ::::,Experience,High,Cerita cita-cita masa kecil,Experience,High,Pengalaman masa kecil,Personal_Experience,Experience,AUTO_RESOLVED_CONSISTENT
CALIB_059,UgxYsdJGOlsSyhnSU8x4AaABAg,JRJ1ngbUe6A,,Harusnya ini jadi ilmu pengetahuan tapi malah pada debat:v sedih deh sama orang2 Indon wkwk,Opinion,High,Kritik sosial terhadap perdebatan,Opinion,High,Evaluasi perdebatan netizen,Correction_vs_Disagreement,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_060,Ugw6cJjhNA6givDtuJx4AaABAg,2EVv7dmTFik,,apakah tumbuhan bisa menyerap karbon monoksida/asap kendaraan?,Question,High,Pertanyaan biologis tumbuhan,Question,High,Tanya tanaman serap karbon monoksida,Genuine_Scientific_Question,Question,AUTO_RESOLVED_CONSISTENT
CALIB_061,UgzwQUnbfh2TZFpEgQx4AaABAg,H_5TPzquRyo,,"request dong""apa itu dark matter"" dan ""dunia paralel""makasih bang membantu banget",Suggestion,High,Request topik dark matter,Suggestion,High,Request dark matter,Implicit_Suggestion,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_062,UgxFYb7vlb9MwQshfoJ4AaABAg,QK01ROEqJ1A,,Sungguh goblok orang yang bilang Alam Semesta ini terjadi kebetulan,Disagreement,High,Penolakan keras klaim kebetulan,Disagreement,High,Sanggahan keras kebetulan semesta,Philosophical_General_Opinion,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_063,UgipLTG_a2fCCXgCoAEC,NVDIHTGVcLc,,asal usul mudik seru  klo dibahas,Suggestion,High,Usulan topik mudik,Suggestion,High,Usul topik mudik,Implicit_Suggestion,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_064,UgxwvJsOfMX_3H6t8pN4AaABAg.8zZedl-VqDs8z_s7veJy9W,QK01ROEqJ1A,UgxwvJsOfMX_3H6t8pN4AaABAg," Perbedaan pendapat selalu ada, lantas kenapa anda memaksakan org lain supaya sependapat dgn anda? ""Bagimu agamamu, bagiku agamaku"" (QS. Al-Kafirun:6)",Disagreement,High,Sanggahan pemaksaan pendapat,Disagreement,High,Sanggahan pemaksaan agama,Explicit_Agreement_vs_Opinion,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_065,Ugxmk-YA_u2j6TrzykF4AaABAg,dghOCZmSEUQ,,"Min
Bahas dong
Kenapa hari Minggu ditetapkan sebagai hari libur
Nggak hari lain",Suggestion,High,Permintaan bahas hari libur,Suggestion,High,Request hari libur,Implicit_Suggestion,Suggestion,AUTO_RESOLVED_CONSISTENT
CALIB_066,UgxCbSyJ4iNHXXfIqTl4AaABAg.8jSEtxC1fc08jSMYxTNRtY,qis44fqpuAU,UgxCbSyJ4iNHXXfIqTl4AaABAg,Jika ada mesin waktu saya bisa menggunakannya untuk bertemu orang yang sudah meninggal atau bertemu tokoh sejarah,Opinion,High,Pendapat penggunaan mesin waktu,Opinion,High,Opini mesin waktu,Personal_Experience,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_067,Ugw1hkzGXjOQYdK-S2N4AaABAg,iq0yOkj3d28,,"Bumi bulat atau rata  cuma teori saja, teori FE blh di masuk akal juga. Lgpun 1 satelit pun belum pernah nmpk guna teleskop",Disagreement,High,Sanggahan terhadap bukti satelit,Disagreement,High,Menyangkal kebenaran satelit,Explicit_Agreement_vs_Opinion,Disagreement,AUTO_RESOLVED_CONSISTENT
CALIB_068,UgwxEl00g6iAJE2GgZx4AaABAg,AxyPASIXz1k,,"Dulu pas sma belajar kimia quantum aku bayangin kalo dunia ini sebearnya hanyalah bagian kecil dari atom yang besarnya di luar akal, dan atom yang ada di bumi ada bumi yang lain yang lebih222222 kecil yang menyusun atomnya itu",Experience,High,Pengalaman masa SMA belajar kuantum,Experience,High,Pengalaman SMA,Personal_Experience,Experience,AUTO_RESOLVED_CONSISTENT
CALIB_069,UgyPtihdKtSPBohppM14AaABAg,qis44fqpuAU,,"masa depan dan masa lalu itu relatif,jika ada mesin waktu saya tidak akan menggunakannya.Biarkanlah takdir menjawab semuanya",Opinion,High,Pandangan filosofis takdir,Opinion,High,Pandangan filosofis,Personal_Experience,Opinion,AUTO_RESOLVED_CONSISTENT
CALIB_070,UgwZc07gtD7i7xJRBPl4AaABAg,QK01ROEqJ1A,,"Kita manusia ini cm sub atom di alam semesta, jdi sebagai manusia jgn lah sombong di alam semesta ini.",Opinion,High,Pandangan refleksi manusia sub atom,Opinion,High,Refleksi filosofis,Philosophical_General_Opinion,Opinion,AUTO_RESOLVED_CONSISTENT
