sample_id,comment_id,video_id,parent_id,text,target_boundary_category,human_annotator_1,human_annotator_2,adjudicated_label,confidence_1,confidence_2,notes_1,notes_2
CALIB_011,UgzXCeq3U-CmGjcVDVh4AaABAg.9RFus7knc0i9RPv6jwd2_g,iq0yOkj3d28,UgzXCeq3U-CmGjcVDVh4AaABAg,"@heheheboy1425 nah itu gua gak suka gravitasi. Bumi berputar tapi air dan seisi yang dipermukaan bumi gak tumpah katanya ada gravitasi? Sedangkan heli kopter dengan kekuatan baling"" bisa naik keatas gravitasi gak bisa narik. Makanya kalo menurut gue gravitasi ga ada",Praise_Plus_Question,Disagreement,Disagreement,Disagreement,High,High,Sanggahan teori gravitasi,Menolak eksistensi gravitasi
CALIB_012,UgwV_EA-RZYgfDA35ux4AaABAg,21seK8tKSYI,,Menit 1.10 suara vacumnya dark seer anjir wwkwwk . Anak dota pasti tau,Correction_vs_Disagreement,Opinion,Correction,,Medium,Low,Pengamatan audio game menit 1:10,Mengoreksi asal suara game
CALIB_013,Ugx9jUGIuW5u2qui0dZ4AaABAg.8tfRn1yWZnJ8zxe6v7Zqpk,impJiSfof9E,Ugx9jUGIuW5u2qui0dZ4AaABAg,berati flet ert itu bneran atau hoax jg sih....ktanya jgn prcaya nasa krna nnti jd kapir..,Hard_Disagreement_Skepticism,Question,Question,Question,Medium,High,Pertanyaan klarifikasi FE,Bertanya kebenaran FE
CALIB_014,UgzmROOkK7wcbS2ol8J4AaABAg,QK01ROEqJ1A,,"gabisa ngomong apa apa lagi (speechless), gimana caranya channel ini bikin konten kaya gini? pasti butuh ilmu yang banyak. wajar jadi trending, malah harusnya jadi trending nomer 1. WAJIB DI SUBSCRIBE",Correction_vs_Disagreement,Praise,Praise,Praise,High,High,Pujian dan apresiasi channel,Pujian kualitas channel
CALIB_015,Ugw3WS5wXhHqa9vqcBd4AaABAg.9u7DC58PJ_lALHQ12_T97n,YxgOhIQJX3Q,Ugw3WS5wXhHqa9vqcBd4AaABAg,karena udh ikonik dari zaman Majapahit.dulu lucu sekarang udh usang menurut saya,Philosophical_General_Opinion,Opinion,Opinion,Opinion,High,High,Evaluasi pandangan pribadi,Penilaian pribadi
CALIB_016,Ugwmnqip8Sn16DXPZUF4AaABAg,qis44fqpuAU,,"Jika diperkenankan mencoba untuk pertama kali, tentu masa depan terlebih dahulu, kenapa? Karena untuk melihat pengaruh baik dan buruk dari adanya mesin waktu tersebut. Jika memang mesin waktu banyak memberi manfaat, maka untuk selanjutnya layak untuk dikembangkan. Apabila lebih banyak memberi dampak buruk dapat segera dimusnahkan.",Rhetorical_Question_vs_Disagreement,Opinion,Opinion,Opinion,High,High,Spekulasi jawaban mesin waktu,Opini skenario waktu
CALIB_017,Ugw9peQn9XyejP7FJXB4AaABAg,21seK8tKSYI,,"DATAR kek, BULAT kek
Serah dah gak percaya 22 nya, walau pasti salahsatunya.",Hard_Disagreement_Skepticism,Disagreement,Disagreement,Disagreement,High,High,Penolakan terhadap kedua teori,Menolak kedua teori bulat/datar
CALIB_018,UgiW4OP3MJEB1HgCoAEC.8SrdVCs_wiJ8uDJXEvScYr,JRJ1ngbUe6A,UgiW4OP3MJEB1HgCoAEC,Elu tolol gak percaya satelit gimana indonesia mau maju kalo generasi penerus bangsa di bodohi oleh teori flat earth,Hard_Disagreement_Skepticism,Disagreement,Disagreement,Disagreement,High,High,Sanggahan keras penganut FE,Mengecam teori FE
CALIB_019,UgzjFCPWc_uE4j75m7F4AaABAg,YxgOhIQJX3Q,,"Mau tanya dong.. 
Kan kenapa kalau manusia gak suka sama suaranya sendiri udah di jawab.. Terus lanjut 
Kenapa manusia suka sama bau kentut sendiri?",Praise_Plus_Question,Question,Question,Question,High,High,Pertanyaan ilmiah baru,Pertanyaan bau kentut
CALIB_020,UgyjdgSDWk5NNbDY8nJ4AaABAg,QK01ROEqJ1A,,"Channel gini bermanfaat harusnya trending 👍 dripda channel sebelah bahas2 horor,hari gini adeh 😅😅🤣😂",Correction_vs_Disagreement,Praise,Praise,Praise,High,High,Apresiasi kebermanfaatan konten,Apresiasi konten edukasi
CALIB_021,UgwIpO9Ss6xA_bGqrPh4AaABAg,YxgOhIQJX3Q,,"Request min, apa jadinya bumi tanpa binatang?",Implicit_Suggestion,Suggestion,Suggestion,Suggestion,High,High,Request topik,Request topik bumi tanpa binatang
CALIB_022,Ugj_k_bvKzVaeHgCoAEC,FMNRItiR6ZA,,kenapa tahu bulat?,Genuine_Scientific_Question,Question,Question,Question,High,High,Pertanyaan rasa ingin tahu,Pertanyaan tahu bulat
CALIB_023,UgwW4pRzAci6rkOHAeF4AaABAg,YxgOhIQJX3Q,,"Videonya bagus, tapi saran seharusnya pakai satuan kaki saja (feet) untuk bahasan perihal ketinggian, jangan km.",Praise_Plus_Correction,Suggestion,Suggestion,Suggestion,High,High,Saran teknis satuan feet,Saran perbaikan satuan ketinggian
CALIB_024,UgyYJgc1CG_3mz-5B0V4AaABAg,21seK8tKSYI,,"Coba kalo lo hilangkan gravitasi, jadi pasti masuk akal kalo bumi itu datar",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Argumen sanggahan gravitasi,Sanggahan gravitasi
CALIB_025,Ugx7LiPBdqFxZ-1UsSN4AaABAg.9Jc62RDvVb29Jc68breOcH,T8g_hUpx9VU,Ugx7LiPBdqFxZ-1UsSN4AaABAg,"Contoh nya kl misalkan ada meme di sosmed kek ""kebiasaan gw waktu kecil"" trus entar ada yg bales dulu gw juga gitu dan lain²",Personal_Experience,Opinion,Opinion,Opinion,Medium,Medium,Menjelaskan analogi meme,Pemberian contoh opini
CALIB_026,UgwBNtO3l2Ogf0yimel4AaABAg,t5SaFgSaM_M,,"Kenapa bang kok bisa suka banget sama Bakso
kenapa gitu yak ?
Wkwk",Praise_Plus_Question,Question,Question,Question,High,High,Pertanyaan santai bakso,Pertanyaan bakso
CALIB_027,Ugz77wD7JOMizDQbp754AaABAg.8zYVkwxewWM9Wa3tKcaSc6,QK01ROEqJ1A,Ugz77wD7JOMizDQbp754AaABAg,"@arbinakson7113 Kalau menurut lu penjelasan gw tentang Yesus sebagai Allah dan manusia kurang membantu. 

Coba sebut.. Dimana letak salahnya. 

Gw pengen tau lu beneran menemukan kesalahan atau hanya ngomong ""Itu gak masuk akal"" sebagai jurus terakhir seperti yang lain 😁",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Tantangan debat balasan,Sanggahan dalam balasan
CALIB_028,UgxgEU3YvxlMhCehnJh4AaABAg.8pQBmZY3rKJ8zk6SkC4IZY,dghOCZmSEUQ,UgxgEU3YvxlMhCehnJh4AaABAg,Di agama saya yg sudah ada jauh sblm agama Islam muncul jg ada dijelaskan ttg alam semesta ini dan nyambung2 aja. (Cmn blg tidak ngajak berantem),Philosophical_General_Opinion,Opinion,Opinion,Opinion,Medium,High,Pandangan perbandingan agama,Pandangan perbandingan keyakinan
CALIB_029,Ugi9Knz5EvymvHgCoAEC,PEbhbW4rgy4,,"+Kok Bisa?, saya mau tanya, Kenapa Di Ruang angkasa sangat Gelap?/ Hitam? Kenapa Tidak putih saja? Dan Berapa Luas angkasa Kira Kira?",Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan sains ruang angkasa,Pertanyaan ruang angkasa gelap
CALIB_030,UgyU_DM2SZzJcs-MjsF4AaABAg.9LWejc7axRY9LtZGmYi80C,JRJ1ngbUe6A,UgyU_DM2SZzJcs-MjsF4AaABAg,Langit bisa ditembus gak percaya?buktinya itu apa satelit?ngambang diluar angkasa,Hard_Disagreement_Skepticism,Disagreement,Disagreement,Disagreement,High,High,Sanggahan retoris membela sains,Sanggahan skeptisisme satelit
CALIB_031,Ugi6t2Krl_qgCHgCoAEC,PEbhbW4rgy4,,"VIDEO nya bagus min , 😁😁 , kenapa nama channelnya ""ko bisa?"" kenapa gk ""ko gitu?"" 😴😴",Praise_Plus_Question,Question,Praise,,Medium,Medium,Praise + Question nama channel -> Question,Memuji video bagus
CALIB_032,UgycGA7R6ty63suv71B4AaABAg.A0bP-o9YwP_A1bn9-AhS04,T9ttUfGG7EE,UgycGA7R6ty63suv71B4AaABAg,"​@syamdism1331 logika anda yang tidak masuk akal sepertinya anda penganut bumi datar, pelajaran buku sekolah sudah ada bahwa manusia pernah menjelajahi bulan, dan sejak dulu sudah banyak penjelasan ilmiah lainnya. Anda hanya males mencari, menyelidiki, membaca yang sudah ada faktanya.",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Sanggahan argumen penganut FE,Sanggahan klaim FE
CALIB_033,UgxNAGBUHL3BhKlkNWl4AaABAg,2EVv7dmTFik,,"Bagaimana cara pesawat luar angkasa terbang di ruang yg hampa udara??
   Bukankah sistem kerja roket dengan mendorong udara,, trus apa yg di dorong di luar angkasa??",Genuine_Scientific_Question,Question,Question,Question,High,High,Pertanyaan sistem kerja roket,Pertanyaan sains roket hampa udara
CALIB_034,UgzgygQDd0AelhpSJO94AaABAg,uA3cMFjqfaM,,bagus vidionya singkat tapi bisa belajar dari itu.dan tdk membuat kita bosan,Praise_Plus_Correction,Praise,Praise,Praise,High,High,Pujian video singkat bermanfaat,Pujian video singkat padat
CALIB_035,Ugwz7DofGmUMva4zwid4AaABAg,QK01ROEqJ1A,,Ada ujungnya di toilet rumahku alam semesta ini,Philosophical_General_Opinion,Opinion,Opinion,Opinion,Low,Low,Candaan ujung alam semesta,Candaan toilet
CALIB_036,UghmqGfdZKiqFXgCoAEC,iyJeozHhvJI,,kok bisa ada manusia yang bisa lihat hantu dan juga tidak?????????????,Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan fenomena manusia,Pertanyaan lihat hantu
CALIB_037,UgyJDf0MKT20D5UC-Dh4AaABAg,qis44fqpuAU,,Kalau ada mesin waktu saya sih akan menonton space toon lagi(nostalgia),Personal_Experience,Opinion,Opinion,Opinion,High,High,Opini nostalgia mesin waktu,Opini nostalgia
CALIB_038,Ugyao70gRcMAvGb_mdt4AaABAg,qis44fqpuAU,,Kalo ada mesin waktu saya mau ke tahun 40.000,Personal_Experience,Opinion,Opinion,Opinion,High,High,Spekulasi pribadi mesin waktu,Opini tahun 40.000
CALIB_039,Ugg0ZdxodCKyiXgCoAEC,iq0yOkj3d28,,bang bumi itu kan bulut ... lalu mengapa kalau pesawat terbang lurus tetap memutari bumi ya .. kan dia tidak menyentuh tanah .. dan logisnya kalo dia lurus kan harusnya malah ke luar angkasa... explain dengan info grafis nya bang jadi video,Correction_vs_Disagreement,Suggestion,Question,,Medium,Medium,Permintaan video penjelasan pesawat,Bertanya alasan pesawat terbang lurus
CALIB_040,UgwCRC2W20cqZpz4W5J4AaABAg.9EogT7DiMA59QhqOhkO7Df,21seK8tKSYI,UgwCRC2W20cqZpz4W5J4AaABAg,"@humanfuturelife2363 km bilang aku jelek? Iya intinya kan hidup makmur dan bahagia kuncinya ya disitu saja sih ,secogan cogannya km emng situ udah makmur hidupnya?. Yakalok makmur bagus, kalok ngk gimana?.",Praise_Plus_Question,Disagreement,Disagreement,Disagreement,High,High,Balasan debat personal,Debat balasan
CALIB_041,Ugw3iKZfpf7UmxvmizF4AaABAg,21seK8tKSYI,,Masuk akal bangetttt,Explicit_Agreement_vs_Opinion,Agreement,Agreement,Agreement,High,High,Afirmasi persetujuan eksplisit,Persetujuan masuk akal
CALIB_042,Ugy7yxr62r1ZoJ_PQZp4AaABAg,YxgOhIQJX3Q,,Menit 2.07 g ad kakinya😅sengaja atau g sengaja?,Correction_vs_Disagreement,Correction,Correction,Correction,Medium,Medium,Ralat visual menit 2:07,Menunjukkan cacat animasi 2:07
CALIB_043,UgyjVPjc6E0SiLd0S2l4AaABAg,jPyd0Xv5LfY,,"Admin Kok Bisa saya ingin bertanya, jika suatu negara mata uangnya jelek kalo di ganti oleh mata uangnya yang lebih bagus apakah ekonomi negara tersebut bakal ikut baik?",Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan sains ekonomi,Pertanyaan ekonomi mata uang
CALIB_044,Ughxu7wHCAJ_aXgCoAEC.8MlXP_P7Oxj8MmkFICqHnO,uA3cMFjqfaM,Ughxu7wHCAJ_aXgCoAEC,"mesin waktu mungkin itk masa kedepan bisa diciptakan untuk prjalanan ke masa depan(IMO)krn adanya partikel yang melebihi kec cahaya/min=kec cahaya,,   untuk ke masa lalu menurut saya lebih susah dr ke masa depan, kalau ada yg tau caranya ke masa lalu bisa komen, mau perbaiki kesalahan :v:v",Philosophical_General_Opinion,Opinion,Opinion,Opinion,High,High,Spekulasi teori mesin waktu,Spekulasi fisika partikel
CALIB_045,UgyhcXZN8Agu6MjoM1F4AaABAg,21seK8tKSYI,,Kaum fe kalo debat suka bawa bawa agama dan dalil giliran di bales sama sama pake dalil malah di katain salah tafsir + emot😁.,Praise_Plus_Correction,Disagreement,Disagreement,Disagreement,High,High,Kritik pola debat kaum FE,Kritik terhadap FE
CALIB_046,Ugz_XC037LS8Afrkjox4AaABAg,NVDIHTGVcLc,,"Mau nanya, kenapa kalo kita misal nya ke kondangan, kan suka ada radio gede2 gitu kan, lagu nya biasa nya lagu dangdut, nah kalo di putar lagu dangdut itu kenapa jantung kita terkadang berasa berdetak lebih keras dari biasa nya???",Praise_Plus_Question,Question,Question,Question,High,High,Pertanyaan biologis jantung dan musik,Pertanyaan musik dangdut dan detak jantung
CALIB_047,UgxoT0ojFuy7BpNeEv14AaABAg,QK01ROEqJ1A,,"Mengapa Tuhan menciptakan planet2 kecil di galaxy lain yg jauh itu, manfaatnya untuk kehidupan kita apa ?",Genuine_Scientific_Question,Question,Question,Question,High,High,Pertanyaan tujuan planet kecil,Pertanyaan penciptaan planet
CALIB_048,UgzX7SiICBD_rkoNOIh4AaABAg,t5SaFgSaM_M,,aku suka ruang angkasa 😘 tapi aku gk suka bumi di tinggalkan,Praise_Plus_Correction,Opinion,Opinion,Opinion,High,High,Ekspresi perasaan suka/tidak suka,Pandangan pribadi
CALIB_049,Ugz69HlMdj6bWMCtwsl4AaABAg.9PNazBcogQ49PSEdO-J8a4,jPyd0Xv5LfY,Ugz69HlMdj6bWMCtwsl4AaABAg,"jaman sekolah gw sampe frustasii dan depresii, jdi rajin ibadah malem meratapi knapa gw jdi kya orang goblokk kalo ngmong,  pnah suatu kali pas sd gw dipaksa lomba pidato, gagap mau ngmong assalamualikumm, yawloh gw malu bgtt sampe sekarangg",Personal_Experience,Experience,Experience,Experience,High,High,Cerita masa sekolah dan lomba pidato,Pengalaman gugup lomba pidato
CALIB_050,UgyEHaeXByB1i2hOIlR4AaABAg.9Ohdrt-CbxT9PedUlYs8w2,21seK8tKSYI,UgyEHaeXByB1i2hOIlR4AaABAg,@chacaas1115 kalo suka sama seseorang apakah harus bedah hatinya dulu untuk tahu jawabannya? heheh,Praise_Plus_Question,Opinion,Opinion,Opinion,Medium,Medium,Candaan analogi bedah hati,Candaan retoris
CALIB_051,UgycFskmn2Oh5RqMeRZ4AaABAg,FMNRItiR6ZA,,"Nah ini dia  channel favorit gw :
1. Sisi Terang : Pembahasannya menarik dan isi nya berisi semua, baguss 😘 😘  😘 😘 
2. Inspiratips : Animasi nya gampang di cerna, konten sains nya keren & cinematic abis 😍 😍  
3. Kok Bisa : Voice over nya keren tapi topic nya bervariasi, gak boring 🥰  🥰 
Terus bahas konten astronomi dong",Praise_Plus_Correction,Suggestion,Suggestion,Suggestion,High,High,Praise + Suggestion -> Suggestion,Request lanjut konten astronomi
CALIB_052,UgzPTzHqQS_e6mUT0_p4AaABAg,rloh5wZxFrU,,@Kok Bisa? Apakah Kita Bisa Membekukan Kembali Es Di Kutub Agar Tidak Cair ? #Beranibertanya,Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan pembekuan es kutub,Pertanyaan es kutub
CALIB_053,UgxeAvjX9u5IKy9K5yd4AaABAg,21seK8tKSYI,,"Keren aninasinya Min, bikinnya gimana pake apa ya?",Praise_Plus_Question,Question,Question,Question,High,High,Praise + Question animasi -> Question,Tanya cara bikin animasi
CALIB_054,UgzqzjnHdJZ952qrF054AaABAg.97sQZGyjAbx98-1Xj_WEJb,21seK8tKSYI,UgzqzjnHdJZ952qrF054AaABAg,Kalo Anda benar benar seorang muslim harusnya percaya kalo bumi itu bulat,Correction_vs_Disagreement,Disagreement,Disagreement,Disagreement,High,High,Sanggahan klaim keyakinan,Sanggahan klaim penganut FE
CALIB_055,UgxTzaR-P4JyDbv98054AaABAg,5Zi4qGpGop4,,"Kok bisa reaksi alergi berbeda beda ada yang bersin2, gatal2, ada yang sesak napas ,ada yang pingsan?",Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan reaksi alergi,Pertanyaan variasi alergi
CALIB_056,UgwpFa3HVDt4IqAalW54AaABAg,FMNRItiR6ZA,,"Chanel yg kaya gini sungguh bermanfaat, tapi anehnya yang hoax lebih laku.",Hard_Disagreement_Skepticism,Praise,Opinion,,Medium,Medium,Apresiasi channel vs hoax,Menilai tren video hoax
CALIB_057,Ugz0a9Wq2Q5LhjmJVyR4AaABAg,T8g_hUpx9VU,,"pernah nonton video Kok Bisa yang bahas jarak antara bumi dengan matahari yang jauhnya ga bisa dibayangin. dan kalo mau ke sana dibutuhkan waktu bertahun tahun lamanya. nah,  gimana mereka (?) bisa tau seberapa panas matahari? sedangkan untuk ke sana butuh waktu bertahun tahun....",Rhetorical_Question_vs_Disagreement,Question,Question,Question,High,High,Pertanyaan metode ukur panas matahari,Tanya cara ukur panas matahari
CALIB_058,Ugw_LQ-btJdFlnwSvC94AaABAg.9b-fIAWVCJA9b4U9TTF_Lo,Beod6J0genE,Ugw_LQ-btJdFlnwSvC94AaABAg,Waktu kecil pengen jadi astronot udah gede jadi penasaran kan udah di  angkasa terus pengen ke bawah jurang tanpa dasar nya kebayang terus ::::,Personal_Experience,Experience,Experience,Experience,High,High,Cerita cita-cita masa kecil,Pengalaman masa kecil
CALIB_059,UgxYsdJGOlsSyhnSU8x4AaABAg,JRJ1ngbUe6A,,Harusnya ini jadi ilmu pengetahuan tapi malah pada debat:v sedih deh sama orang2 Indon wkwk,Correction_vs_Disagreement,Opinion,Opinion,Opinion,High,High,Kritik sosial terhadap perdebatan,Evaluasi perdebatan netizen
CALIB_060,Ugw6cJjhNA6givDtuJx4AaABAg,2EVv7dmTFik,,apakah tumbuhan bisa menyerap karbon monoksida/asap kendaraan?,Genuine_Scientific_Question,Question,Question,Question,High,High,Pertanyaan biologis tumbuhan,Tanya tanaman serap karbon monoksida
CALIB_061,UgzwQUnbfh2TZFpEgQx4AaABAg,H_5TPzquRyo,,"request dong""apa itu dark matter"" dan ""dunia paralel""makasih bang membantu banget",Implicit_Suggestion,Suggestion,Suggestion,Suggestion,High,High,Request topik dark matter,Request dark matter
CALIB_062,UgxFYb7vlb9MwQshfoJ4AaABAg,QK01ROEqJ1A,,Sungguh goblok orang yang bilang Alam Semesta ini terjadi kebetulan,Philosophical_General_Opinion,Disagreement,Disagreement,Disagreement,High,High,Penolakan keras klaim kebetulan,Sanggahan keras kebetulan semesta
CALIB_063,UgipLTG_a2fCCXgCoAEC,NVDIHTGVcLc,,asal usul mudik seru  klo dibahas,Implicit_Suggestion,Suggestion,Suggestion,Suggestion,High,High,Usulan topik mudik,Usul topik mudik
CALIB_064,UgxwvJsOfMX_3H6t8pN4AaABAg.8zZedl-VqDs8z_s7veJy9W,QK01ROEqJ1A,UgxwvJsOfMX_3H6t8pN4AaABAg," Perbedaan pendapat selalu ada, lantas kenapa anda memaksakan org lain supaya sependapat dgn anda? ""Bagimu agamamu, bagiku agamaku"" (QS. Al-Kafirun:6)",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Sanggahan pemaksaan pendapat,Sanggahan pemaksaan agama
CALIB_065,Ugxmk-YA_u2j6TrzykF4AaABAg,dghOCZmSEUQ,,"Min
Bahas dong
Kenapa hari Minggu ditetapkan sebagai hari libur
Nggak hari lain",Implicit_Suggestion,Suggestion,Suggestion,Suggestion,High,High,Permintaan bahas hari libur,Request hari libur
CALIB_066,UgxCbSyJ4iNHXXfIqTl4AaABAg.8jSEtxC1fc08jSMYxTNRtY,qis44fqpuAU,UgxCbSyJ4iNHXXfIqTl4AaABAg,Jika ada mesin waktu saya bisa menggunakannya untuk bertemu orang yang sudah meninggal atau bertemu tokoh sejarah,Personal_Experience,Opinion,Opinion,Opinion,High,High,Pendapat penggunaan mesin waktu,Opini mesin waktu
CALIB_067,Ugw1hkzGXjOQYdK-S2N4AaABAg,iq0yOkj3d28,,"Bumi bulat atau rata  cuma teori saja, teori FE blh di masuk akal juga. Lgpun 1 satelit pun belum pernah nmpk guna teleskop",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Sanggahan terhadap bukti satelit,Menyangkal kebenaran satelit
CALIB_068,UgwxEl00g6iAJE2GgZx4AaABAg,AxyPASIXz1k,,"Dulu pas sma belajar kimia quantum aku bayangin kalo dunia ini sebearnya hanyalah bagian kecil dari atom yang besarnya di luar akal, dan atom yang ada di bumi ada bumi yang lain yang lebih222222 kecil yang menyusun atomnya itu",Personal_Experience,Experience,Experience,Experience,High,High,Pengalaman masa SMA belajar kuantum,Pengalaman SMA
CALIB_069,UgyPtihdKtSPBohppM14AaABAg,qis44fqpuAU,,"masa depan dan masa lalu itu relatif,jika ada mesin waktu saya tidak akan menggunakannya.Biarkanlah takdir menjawab semuanya",Personal_Experience,Opinion,Opinion,Opinion,High,High,Pandangan filosofis takdir,Pandangan filosofis
CALIB_070,UgwZc07gtD7i7xJRBPl4AaABAg,QK01ROEqJ1A,,"Kita manusia ini cm sub atom di alam semesta, jdi sebagai manusia jgn lah sombong di alam semesta ini.",Philosophical_General_Opinion,Opinion,Opinion,Opinion,High,High,Pandangan refleksi manusia sub atom,Refleksi filosofis
CALIB_071,UghrGwLxEy50QngCoAEC,iq0yOkj3d28,,apakah ada fakta2 nya klo bumi itu bulat ato datar jadi bingung mana yg benar mana yg hoax mohon penjelasan nya,Hard_Disagreement_Skepticism,Question,Question,Question,High,High,Pertanyaan fakta bumi bulat/datar,Minta penjelasan fakta
CALIB_072,Ugwgwp867yII4EI4Xgh4AaABAg,21seK8tKSYI,,"Disini teori flat earth terlihat sangat tidak masuk akal. Padahal banyak fakta yg diungkap kan oleh para flat earth society yg disini dibuat melenceng bahkan, fakta2 di video ini tentang teori flat earth salah semua. sekian pendapat yang bisa saya sampaikan",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Sanggahan isi video melenceng,Menyatakan video salah semua
CALIB_073,Ugx-5YMnRdUENxDn6hh4AaABAg,dghOCZmSEUQ,,"min tolong bahas dong asal mula kenapa emas sangat begitu berharga, 
apa udh ada video yg membahas itu,?
Thanx",Implicit_Suggestion,Suggestion,Suggestion,Suggestion,High,High,Usulan topik asal mula emas,Request asal mula emas
CALIB_074,UgxKLK7lKG7kyzACN_14AaABAg.8y9CIL790Wh9ZLp5rkEcpX,T9ttUfGG7EE,UgxKLK7lKG7kyzACN_14AaABAg,"Coba gogling brp kecepatan bumi berputar,,,,lbih gak masuk akal lagi 🤣🤣🤣",Explicit_Agreement_vs_Opinion,Disagreement,Disagreement,Disagreement,High,High,Sanggahan skeptis kecepatan rotasi,Skeptis kecepatan rotasi
CALIB_075,UgwhvVfdU36U3u7lv6p4AaABAg.9LwfRTnvvyP9LzpFHhpwnU,AxyPASIXz1k,UgwhvVfdU36U3u7lv6p4AaABAg,"DNA nya dikompres sampai sekecil manusia kayak black hole tapi black hole versi yang tak terbatasnya

Misalnya saja ada blackhole paling masive di alam semesta trus gravitasi nya di hilangkan mungkin bisa jadi big bang ke 2",Philosophical_General_Opinion,Opinion,Opinion,Opinion,High,High,Spekulasi teori black hole,Spekulasi ilmiah
CALIB_076,UgjDiy7pp5gfhHgCoAEC,NVDIHTGVcLc,,"Min mau nanya tentang asal usul mimisan , termasuk yg ringan dan yg berat .

Apa karna si tukang bakso kebanyakan saos :V",Implicit_Suggestion,Question,Question,Question,High,High,Pertanyaan medis mimisan,Tanya sebab mimisan
CALIB_077,UgiYyykF8mq2UngCoAEC.8NUVzJLErZ78cuOXU0P0bR,iq0yOkj3d28,UgiYyykF8mq2UngCoAEC,Pembodohan ! Ini bukan hanya indo goblok lihat tuh channel dari luar indo banyak,Hard_Disagreement_Skepticism,Disagreement,Disagreement,Disagreement,High,High,Penolakan keras tuduhan pembodohan,Kritik tajam pembodohan
