comment_id,video_id,parent_id,text,predicted_discourse_act,gold_label,off_topic_flag,annotation_notes
UggjJhkucSX_6HgCoAEC.8ThQ-EF4zpC8ZAKmGy087d,iyJeozHhvJI,UggjJhkucSX_6HgCoAEC,Nama nya aja channel science pasti panutan nya teori evolusi.... science ama agama gak bisa di gabungin .... belum nyampe kek nya,Opinion,Disagreement,NO,A1=Disagreement; A2=Opinion. Adjudicated as Disagreement based on the dominant communicative function.
Ugygt0El2XgpIn4B15N4AaABAg,YljSXjd4lnk,TOP_LEVEL,Berterima.kasihlah pada  almarhum bapak bj habibie,Opinion,Praise,NO,A1=Praise; A2=Opinion. Adjudicated as Praise based on the dominant communicative function.
Ugw75bD1yeJ4vU2iCNB4AaABAg.9q6sJWeCsgkA5hfEj_s9hw,QK01ROEqJ1A,Ugw75bD1yeJ4vU2iCNB4AaABAg,@zakariaandra5535 loe juga dgn bilang masih langit pertama juga sotoy,Opinion,Disagreement,NO,A1=Disagreement; A2=Opinion. Adjudicated as Disagreement based on the dominant communicative function.
UgxigX3en70sKJ8Ikax4AaABAg.9K5N0xos7ar9KNCzSQewEV,QK01ROEqJ1A,UgxigX3en70sKJ8Ikax4AaABAg,Itu semua dimulai dari BigBang atau alam semesta awal dari semuanya,Opinion,Opinion,NO,
Ugz_7Mc4QjLO_-uSZLB4AaABAg.8zZ7FxW_MxR8z_I_JYgoPp,QK01ROEqJ1A,Ugz_7Mc4QjLO_-uSZLB4AaABAg,"???????? ????????? ?????????? ?????? ????????? ????? ?????? ???? ????????? ??????????

Terjemah Arti: Dan sesungguhnya Kami telah menciptakan di atas kamu tujuh buah jalan (tujuh buah langit); dan Kami tidaklah lengah terhadap ciptaan (Kami). (Q.S. Al-Mu'minun Ayat 17)


*_*Orange justice dance*_*",Opinion,Agreement,NO,A1=Agreement; A2=Question. Adjudicated as Agreement based on the dominant communicative function.
UgxsSDlCnCfOyWuDdWl4AaABAg.8WtLMGx4RpU8WtRjq2w--N,zbSe0xE7tg0,UgxsSDlCnCfOyWuDdWl4AaABAg,adam sentik mimin yahudi jadi ga ngambil ilmu dari agama wkwk,Opinion,Disagreement,NO,A1=Disagreement; A2=Opinion. Adjudicated as Disagreement based on the dominant communicative function.
UgyDpiUbaHoubBEhd4F4AaABAg.9MHcgil-dcr9MIX7fcqpjF,rha05J96bOM,UgyDpiUbaHoubBEhd4F4AaABAg,klo muncul di film ukurannya gimana yah...,Opinion,Question,NO,
Ugzq3Vb9gDaz6-e1KdJ4AaABAg,AxyPASIXz1k,TOP_LEVEL,3:45 terinspirasi dari anime Hataraku Saibou ????,Opinion,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
UgyvrTjAcUR-GYxaLKt4AaABAg.9MPFHp22YHN9MPWTV2WGzj,twXOQyxZWxY,UgyvrTjAcUR-GYxaLKt4AaABAg,"Delapan min, itupun gua paksain",Opinion,Opinion,NO,
UgxK9w7hTGeEPyPBdl14AaABAg,QK01ROEqJ1A,TOP_LEVEL,Dan diluar sana hidup Thanos beserta antek-anteknya yang bisa mengancam eksistensi kita wkwkwk,Opinion,Opinion,NO,
UgxbRoWmWxKBxMRHtLx4AaABAg,21seK8tKSYI,TOP_LEVEL,Admin kontol kecil penakut sok bijak,Opinion,Disagreement,NO,A1=Disagreement; A2=Opinion. Adjudicated as Disagreement based on the dominant communicative function.
Ugh6tocFm1dCF3gCoAEC,iyJeozHhvJI,TOP_LEVEL,"katanya bulan makin menjauh dari bumi :V

berarti tak lama lagi emang masih lama bulan akan hilang dari bumi :V",Opinion,Opinion,NO,
UghQ2daqytKRuHgCoAEC,iq0yOkj3d28,TOP_LEVEL,jangan kan ke bulan.. ?ª?? masih ?? bumi ajah benua antartika belum Å?à orang ?ª?? bisa melewati nya,Opinion,Disagreement,NO,A1=Disagreement; A2=Question. Adjudicated as Disagreement based on the dominant communicative function.
UgxVYhc8ueMQA2WuAPN4AaABAg.8e7DUsZS-Ty8e7HpX9ZTYo,21seK8tKSYI,UgxVYhc8ueMQA2WuAPN4AaABAg,"GamerZ Android hai,mampir juga ya ke channel ku ,jika ada waktu , mohon suport nya ??",Opinion,Suggestion,NO,A1=Suggestion; A2=Question. Adjudicated as Suggestion based on the dominant communicative function.
Ugz2jiWHNAXIh_qK07J4AaABAg,qis44fqpuAU,TOP_LEVEL,Masa lalu biar gw kasih tau wibu juga bisa berkarya,Opinion,Opinion,NO,
UgyUodgzN1pwUzLyTLt4AaABAg.8odd9qSUGMA8ofrD17UJYV,RBFhyVux3IE,UgyUodgzN1pwUzLyTLt4AaABAg,"Biarkan kak kobi yang jawab:""",Opinion,Opinion,NO,
UgyTMb0gKN_5fCmI0o54AaABAg,QK01ROEqJ1A,TOP_LEVEL,Terus siapa yg penah ksana bisa ampe tau gini.. varah,Opinion,Question,NO,
Ugz2IryVmcGTyFzmu_Z4AaABAg,AxyPASIXz1k,TOP_LEVEL,Yang lebih kecil dari atom adalah harapanku untuk bersanding dengannya,Opinion,Opinion,NO,
UggGUaiFyCpx3HgCoAEC,iyJeozHhvJI,TOP_LEVEL,yang terjadi jika bulan lenyap adalah Toneri tak akan muncul di Naruto The Last,Opinion,Opinion,NO,
Ugyv-0bMqMPOi_NIEst4AaABAg,21seK8tKSYI,TOP_LEVEL,Didlm islam bumi ada ujung nya,Opinion,Opinion,NO,
UgzpT6PBYitORFlDRX94AaABAg.8yh6BPi2_iF9BTvWteZHwH,eXml_nlmPoE,UgzpT6PBYitORFlDRX94AaABAg,@b27sr18 yaa gw buat komennya kan 2019,Opinion,Opinion,NO,
UgxtSBFqj5ibU60TQa94AaABAg,FGdLT8UuBZI,TOP_LEVEL,Gerhana bulan,Opinion,Opinion,NO,
UgyLpSIncBGpHhbQ4R14AaABAg.8zUtoZ6VFjJ8zaOkReJOv9,21seK8tKSYI,UgyLpSIncBGpHhbQ4R14AaABAg,Film animasi ini mah??,Opinion,Question,NO,
Ugi5MefWE1C48XgCoAEC.8VW0pBMW6Kk8VWnlT64wPu,2EVv7dmTFik,Ugi5MefWE1C48XgCoAEC,100 Untuk Insan Kamil ??,Opinion,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
UgwiuHI58WSHmuHCOjJ4AaABAg.9dX7XE2vjXF9dj2WldXlyy,FMNRItiR6ZA,UgwiuHI58WSHmuHCOjJ4AaABAg,@DaffabinZaid kalau mau cari penjelasannya di google atau youtube bisa mati gw kalo ngomongin disini soalnya bisa sampe 500 paragraf,Opinion,Suggestion,NO,A1=Suggestion; A2=Opinion. Adjudicated as Suggestion based on the dominant communicative function.
UgzjkXnmudTI7RRduXV4AaABAg.908GhcApw-OA5htjzkSZex,QK01ROEqJ1A,UgzjkXnmudTI7RRduXV4AaABAg,Woi bantu,Opinion,Suggestion,NO,A1=Suggestion; A2=Opinion. Adjudicated as Suggestion based on the dominant communicative function.
UggK3OjRG-strXgCoAEC,iq0yOkj3d28,TOP_LEVEL,"bagi saya sih yg percaya bumi datar otak primitif,  yg sekrang di kembangkan lagi....",Opinion,Disagreement,NO,A1=Disagreement; A2=Opinion. Adjudicated as Disagreement based on the dominant communicative function.
UgyR1s-8urGMEA-lGXB4AaABAg.9MIDAujN3xa9MK44q_HAd9,rha05J96bOM,UgyR1s-8urGMEA-lGXB4AaABAg,Bocil mana zaman sekarang mana tau??,Opinion,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
UgznnYwUa3hajUjF2wp4AaABAg.8qKHtv7fR1s8qNN0pfj6zi,rloh5wZxFrU,UgznnYwUa3hajUjF2wp4AaABAg,Anjir panjang amat penjelasannya,Opinion,Opinion,NO,
UgyfXmgIc6Gr3kDFVUp4AaABAg,QK01ROEqJ1A,TOP_LEVEL,merinding ya Allah . AllahuAkbar,Opinion,Praise,NO,A1=Praise; A2=Opinion. Adjudicated as Praise based on the dominant communicative function.
UgjJRoJVooJuzHgCoAEC,Tx87wEaDtxo,TOP_LEVEL,pengertian galaksi dong,Opinion,Question,NO,A1=Question; A2=Opinion. Adjudicated as Question based on the dominant communicative function.
UgyFycmukPWbKPcZgv54AaABAg,QK01ROEqJ1A,TOP_LEVEL,"jgn batasi kuasa tuhan dgn akal fikiriranmu,,,kagak bakalan nyampe cuk",Opinion,Disagreement,NO,A1=Disagreement; A2=Opinion. Adjudicated as Disagreement based on the dominant communicative function.
UgxUgttpq0sQCCTNjz14AaABAg,uA3cMFjqfaM,TOP_LEVEL,"ntar bang yang alat tadi,yang dapat  memproduksi oksigen dan karbon tuh,nah alat  itu memproduksi oksigen dan karbon dari atmosfernya si mars tadi katanya atmosfer di mars hanya sedikit jika kita ambil oksigen dan karbon di ntuh atmosfer nanti mars dilindungi ama siapa,bisa bisa ada benda lain yang jatuh ke mars,nah manusia pengen pindah kemana lagi... masa mau di black hole",Opinion,Question,NO,A1=Question; A2=Opinion. Adjudicated as Question because the text contains a stronger cue for the primary function (Question).
Ugzlz7b6GbkqREfN4nl4AaABAg.9JtG6m53R399K2i7bFr4Xv,T9ttUfGG7EE,Ugzlz7b6GbkqREfN4nl4AaABAg,"@??? Sudah dijelaskan, pikirkan tentang Ruang HAMPA UDARA !",Opinion,Disagreement,NO,A1=Disagreement; A2=Question. Adjudicated as Disagreement based on the dominant communicative function.
UgxwKeA_wELJAFoBZqh4AaABAg,jPyd0Xv5LfY,TOP_LEVEL,pada saat awal sepeda bergerak keseimbangan ada pada kayuhan pedal kiri dan kanan. Setelah sepeda bergerak sepeda akan meluncur seimbang jika daya dorong yang dihasilkan pedal lebih (daya luncur) lebih besar dari beban dorongan ke kiri dan ke kanan dari badan,Opinion,Opinion,NO,
UgxpJ6s8I5o33cZ6ptx4AaABAg.8e7CxvCBUKx8e7FDLzMZTg,21seK8tKSYI,UgxpJ6s8I5o33cZ6ptx4AaABAg,"kungkingkang Tech Support kasian kasian kasian...
wake up broww.,makanya sering2 mikir.,biar kadar micin berkurang..????????",Opinion,Disagreement,NO,A1=Disagreement; A2=Question. Adjudicated as Disagreement based on the dominant communicative function.
Ugx34kbqlvyR_MK7y9N4AaABAg,21seK8tKSYI,TOP_LEVEL,Pengertian ilmiah tenaga dalam / kekuatan alam bang...,Opinion,Question,NO,A1=Question; A2=Opinion. Adjudicated as Question based on the dominant communicative function.
Ugyi4-3q_-RmZkk81gh4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Sampe mati gk bakal bisa tau misteri alam semesta, sedih banget sih. Padahal gw penasaran luar biasa .",Opinion,Praise,NO,A1=Opinion; A2=Praise. Adjudicated as Praise because the text contains a stronger cue for the primary function (Praise).
Ugz8bm47AV32s9PmZ-Z4AaABAg.8xg_2IcN3_58xgauV3HHsO,t5SaFgSaM_M,Ugz8bm47AV32s9PmZ-Z4AaABAg,@reganharvan sy gak ngerti mksdnya apa wkwk,Opinion,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
UgzVtJOBhu20b4SWdHd4AaABAg,impJiSfof9E,TOP_LEVEL,Cibaku tensei,Opinion,Opinion,NO,
Ugytgp1CD3VKlTjjYjN4AaABAg,iyJeozHhvJI,TOP_LEVEL,Kalau bulan lenyap maka yang namanya manusia serigala gaakan ada,Opinion,Opinion,NO,
UgjlH0UMQQbXNXgCoAEC,iyJeozHhvJI,TOP_LEVEL,Maha Besar Allah Yang Menciptakan matahari dan bulan  ??,Opinion,Praise,NO,A1=Praise; A2=Question. Adjudicated as Praise based on the dominant communicative function.
UghjtbePZvxNdHgCoAEC.8CabO3P8JR58CbZACNZtAz,PEbhbW4rgy4,UghjtbePZvxNdHgCoAEC,bumi perlahan-lahan akan hancur dan runtuh karena tak ada penopang,Opinion,Opinion,NO,
Ugw9cd4B-Tyt0b2yAhd4AaABAg,AxyPASIXz1k,TOP_LEVEL,"Gw nonton saking seriusnya nya sambil makan mie instan yang pedas 2 porsi,sampe gk kerasa kalo mie nya udah habis dan airnya masih utuhh??",Opinion,Experience,NO,A1=Experience; A2=Question. Adjudicated as Experience because the text contains a stronger cue for the primary function (Experience).
Ugwet8WEOBztuLj-YLx4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Subhanlllah , gak kebayang begitu sucinya dan mulianya Nabi kita adalah seorang Manusia yang bisa menembus 7 lagit dan bertemu Di hadapan Allah.SWT. Allahu Akbar..Allah yang maha Esa. Maha segala2nya ..semoga diri ini menjadi manusi yang senantiasa dalam lindungannya aamiin",Opinion,Praise,NO,A1=Praise; A2=Opinion. Adjudicated as Praise based on the dominant communicative function.
UghruGXIKJtD13gCoAEC.8OUA70acXzf9PjnOYowPv1,NVDIHTGVcLc,UghruGXIKJtD13gCoAEC,Iya andai kita ada di dunia minecraft ??,Opinion,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
Ugyl2wuSvF0vL6y9P814AaABAg.8YAQ2cdZ0ny8qlWlCxLmNw,Tx87wEaDtxo,Ugyl2wuSvF0vL6y9P814AaABAg,Bisa dihisap bro kan black hole bener bener kuat bahkan Jupiter aja bisa,Agreement,Opinion,NO,A1=Opinion; A2=Agreement. Adjudicated as Opinion based on the dominant communicative function.
UgwncmYkLR4qx_19qcN4AaABAg,QK01ROEqJ1A,TOP_LEVEL,Seluas itu lho . Dan elo masih jomblo ? Wkkwkwkw malu sama kucing peliharaan alien dari multi universe,Agreement,Opinion,YES,A1=Opinion; A2=Question. Adjudicated as Opinion based on the comment's primary discourse function. Marked off-topic because the comment is clearly unrelated to the substantive video discussion.
UgzCM7NacrR4ma41BFx4AaABAg,H_5TPzquRyo,TOP_LEVEL,Berarti teori darwin soal evolusi manusia tidak terbukti benar kan,Agreement,Question,NO,A1=Question; A2=Opinion. Adjudicated as Question based on the dominant communicative function.
UgwfA8V53xY61BkMPip4AaABAg,Tx87wEaDtxo,TOP_LEVEL,Dikirain gua blackhole yg di boboiboy the movie sama pain di naruto,Agreement,Opinion,NO,
Ughw1CVZW99zMXgCoAEC,iyJeozHhvJI,TOP_LEVEL,"saya suka channel ini soalnya channel ini kalo bahas sesuatu itu pake kepinteran, pake otak, bukan cuma searching yg cuma ""katanya"", channel sebelah tuh, bahas sesuatu bahannya cuma searching yang sebenernya ga bener.",Agreement,Praise,NO,A1=Praise; A2=Agreement. Adjudicated as Praise because the text contains a stronger cue for the primary function (Praise).
Ugitl6-mi5ZQ8XgCoAEC,H_5TPzquRyo,TOP_LEVEL,"Min kalau berani, nanti rencana DR Zakir Naik mau Ke Indonesia. biar seru nih, coba lu jelasin ini ke beliau. bantah penjelasan beliau langsung. 
mudah2an bener jadi ke Indonesia. Gmne? terima tantangan ga? hehe.",Agreement,Question,NO,A1=Suggestion; A2=Question. Adjudicated as Question because the text contains a stronger cue for the primary function (Question).
UgzDyDGFkcCq4f39LIN4AaABAg.9MPHUzQgQ0Q9MQPwWcgyui,twXOQyxZWxY,UgzDyDGFkcCq4f39LIN4AaABAg,@hknx78 nah ini yang bener ngarang lu bro ???,Agreement,Disagreement,NO,A1=Disagreement; A2=Question. Adjudicated as Disagreement because the text contains a stronger cue for the primary function (Disagreement).
UgzXJa7MVgqMBB4jxZt4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Jarak terjauh itu adalah langit ke tujuh yaitu sidratul muntaha, dan manusia pertama yg dah nyampe disana yaitu nabi Muhammad Sallalluhu Allaihi wassalam. Itu bukti yg pasti benar krn merupakan firman Allah Subhanawataala. Sebagai pemilik dan pencipta ..alam semesta ini !   Wallahualam bisawab.",Agreement,Opinion,NO,
UgwEJPO57FpZRx9CuqJ4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Giga Drill Gurren laggan sebanding sama yg mana? ??
Just joke",Agreement,Question,NO,
UggsBPe2FXSDx3gCoAEC,iq0yOkj3d28,TOP_LEVEL,"Benar bentuk bumi itu bulat tapi yang saya tau, tidak berbentuk bulat sempurna  tapi karena penglihatan dan Atmosfer  yang membuat bumi terlihat butal sangat.... mantap videonya bro... simpel pisan..",Agreement,Praise,NO,
UgxmtzJVn2giSb0d0Ct4AaABAg.8u7fnKChmB99T44hfAJDwW,impJiSfof9E,UgxmtzJVn2giSb0d0Ct4AaABAg,@nangar7288 komen lu dijadiin vid sama bang kobi,Agreement,Opinion,NO,
UgyjFy_B7VtU9bOc5CZ4AaABAg.8yAPL05VDdT9BVDONp9Nb4,t5SaFgSaM_M,UgyjFy_B7VtU9bOc5CZ4AaABAg,@moyacy yaps betul,Agreement,Agreement,NO,
UgzvZllJZsP2leNbZNt4AaABAg,qis44fqpuAU,TOP_LEVEL,"Masa depan: karna biar bisa memperbaiki apa yg salah, dan bs liat Netijen Indo msh sama/ ngak ad bedanya, dan biar bisa liat cerah/ ngak masa depannku wkwk, Dan bisa liat apa Galacticos Madrid yg baru.  knp tidak masa lalu? Karna yahh pengalaman2 masa lalu kan nanti akan berguna buat masa depan",Agreement,Question,NO,A1=Opinion; A2=Question. Adjudicated as Question because the text contains a stronger cue for the primary function (Question).
UgzjGribaF5gtjZFrg94AaABAg,21seK8tKSYI,TOP_LEVEL,cara paling cerdas untuk mencuci otak adalah dengan animasi kartun selipkan sedikit humor yg bikin logika tersentil & tergelitik sampe akhirnya kita menelan mentah2 serta mempercayai pencucian otak itu menjadi terasa benar.,Agreement,Opinion,NO,
UgytOR26zL9sA6V-LzF4AaABAg,QK01ROEqJ1A,TOP_LEVEL,Semut aja udah kecil banget sama manusia apalagi sama alam semesta,Agreement,Opinion,NO,
Ugz5P9ns1Nwe3SB4ZZd4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Alhamdulillah ya allah pertanyaanku terjawab lewat video ini,benar kata pepatah diatas langit masih ada langit",Agreement,Praise,NO,
UgjbCv_bIGRAFHgCoAEC.8RyXKqsQmcJ8SKxBYCNDhU,NVDIHTGVcLc,UgjbCv_bIGRAFHgCoAEC,"Miau Suan Yang bener itu Elevator oi, lift itu artinya mengangkut",Agreement,Correction,NO,A1=Correction; A2=Agreement. Adjudicated as Correction based on the dominant communicative function.
UgzuBwz_OmwA6Z0SzCZ4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Ada triliun""an planet dan sangat luas alam semesta ini dan kalian masih jomblo, sama:)",Agreement,Opinion,YES,Marked off-topic because the comment is clearly unrelated to the substantive video discussion.
Ugw9zBTyJ5Dtmu6ymJ14AaABAg.8ukwqvW7AfM9677XsT2Bfe,FjFsx6iQE3Y,Ugw9zBTyJ5Dtmu6ymJ14AaABAg,"@princextom963 
4,37 dibulatin jadi 4000 tahun ? Yang benar saja, itu bilangan berkoma. Misalnya 1,2 Jam, apakah itu berarti 12 Jam ? Tidak kan ? 1,2 Jam berarti 1 Jam 12 Menit, sama seperti jarak ke Alpha Centauri yaitu 4,37 Tahun cahaya",Agreement,Correction,NO,A1=Correction; A2=Question. Adjudicated as Correction because the text contains a stronger cue for the primary function (Correction).
Ugxw39_rKm488YL8Gmx4AaABAg,t5SaFgSaM_M,TOP_LEVEL,Ke mars aja biar sama erpan,Agreement,Opinion,NO,
UgwPGSHq1IhpOMm_q3N4AaABAg.985ch5hKcze98BkS0-z8bF,21seK8tKSYI,UgwPGSHq1IhpOMm_q3N4AaABAg,"1.Semakin jauh dari permukaan Bumi, semakin rendah kerapatan udara. Maka, gaya angkat yang dihasilkan sayap pesawat juga akan semakin rendah
2.pesawat komersil didesain stabil terhadap arah gravitasi (longitudinal static stability). Jika tidak ada input dari pilot, pesawat akan secara otomatis meluruskan posisi agar tegak lurus terhadap arah gaya berat.
3.Semakin miring posisi pesawat terhadap permukaan Bumi, maka semakin kecil komponen gaya angkat yang dihasilkan sayap yang arahnya melawan gaya besar. Sedangkan gaya berat sendiri selalu memiliki arah ke pusat Bumi
4.Dengan parameter terbang yang konstan (kecepatan, dan sebagainya), pesawat akan terbang mengikuti tekanan udara yang sama. Tekanan udara akan praktis konstan pada ketinggian yang sama dari permukaan bumi
5.mesin pesawat  pada umumnya memiliki gaya dorong yang lebih rendah daripada berat pesawat. Jadi, mesin pesawat tidak dapat membawa pesawat naik jika hanya itu gaya yang bekerja pada pesawat
6.Mesin pesawat membutuhkan oksigen. Semakin tinggi, oksigen semakin menipis, dan suatu saat mesin pesawat tidak lagi dapat bekerja dan menghasilkan gaya dorong.
Semoga membantu kak??",Agreement,Opinion,NO,A1=Opinion; A2=Question. Adjudicated as Opinion based on the dominant communicative function.
Ugw2h0QFsbypR4XlqDJ4AaABAg,qis44fqpuAU,TOP_LEVEL,Mau ke masa lalu dan ketemu diri sendiri. Terus nyuruh dia untuk sering-sering nabung dan belajar yang bener. :)),Agreement,Experience,NO,A1=Experience; A2=Agreement. Adjudicated as Experience based on the dominant communicative function.
Ugy4wa5kzx98LeA5f6d4AaABAg.9GCbL-ZbtDm9Hbt1sUxG--,21seK8tKSYI,Ugy4wa5kzx98LeA5f6d4AaABAg,Ya kalau gitu gua teleskopnya pake helikopter lebih jelas gaada lagi yang namanya ketutupan gunung sama bangunan!!!!,Agreement,Suggestion,NO,A1=Suggestion; A2=Opinion. Adjudicated as Suggestion based on the dominant communicative function.
Ugyg3Rgm8dkvUAtjchV4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Allah berfiman :
Hai jamaah jin dan manusia, jika kamu sanggup menembus (melintasi) penjuru langit dan bumi, maka lintasilah, kamu tidak dapat menembusnya kecuali dengan kekuatan (Qs. Ar-Rahman : 33)
Alam semesta ini luas sekali Allah SWT berfirman:
Dan langit itu Kami bangun dengan kekuasaan (Kami) dan sesungguhnya Kami benar-benar meluaskannya.(QS. Adz-Dzariyat 51:47)
Ini ada di ajaran agama yang saya
Sungguh nikmat tuhan mana lagi yang kau dustakan",Agreement,Agreement,NO,A1=Agreement; A2=Opinion. Adjudicated as Agreement based on the dominant communicative function.
UgxXOnYceUJjE_S7U-t4AaABAg,T9ttUfGG7EE,TOP_LEVEL,Itu Medvedev sama Trump kah? .-.,Agreement,Question,NO,
Ugzh2sQuFXyJNkJLX_R4AaABAg.9BcyW_Jau0h9EH3gtmvMrN,21seK8tKSYI,Ugzh2sQuFXyJNkJLX_R4AaABAg,"@random-xj4vn gw setuju Ama komen balesan diatas, anggota NASA ga sedikit dan ga cuman dari 1 negara, kalo NASA berbohong salah satunya pasti memberi tahu :)",Agreement,Agreement,NO,
UgyrQZugx2lgwMrk1L14AaABAg.98Kn036b1Xk98OtHnzG_XL,21seK8tKSYI,UgyrQZugx2lgwMrk1L14AaABAg,"@pagisuri7415 gua tnggu lu jawab 5 pertanyaan gua diatas bro, jangan ngilang yak, buktikan kalo FE benar ??",Agreement,Question,NO,
Ugzact3X6ZIPuNsbLVh4AaABAg,QK01ROEqJ1A,TOP_LEVEL,"Selalu salut sama konten""nya..",Agreement,Praise,NO,A1=Praise; A2=Opinion. Adjudicated as Praise because the text contains a stronger cue for the primary function (Praise).
UgxgKSJdC8TYszVEGrh4AaABAg.8WtGFHKMpJs8WtJ8ANWwuX,zbSe0xE7tg0,UgxgKSJdC8TYszVEGrh4AaABAg,"Itu kayaknya jari manis sama jari kelingking urat nya nyatu.
Tapi gak tau juga",Agreement,Opinion,NO,
